"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146648.17",43.544271680538,-3.13314835335447,0.453849111408307,-6.90350223146238,5.07358590590061e-12,3.563179381714e-08
"ENSG00000117983.17",14.2218464226634,-7.33001860098311,1.24727990482535,-5.87680325212125,4.18264828757882e-09,1.41405224862456e-05
"ENSG00000135506.15",105.786505990844,-3.78565978269977,0.656397552788531,-5.7673276913014,8.05383595970131e-09,1.41405224862456e-05
"ENSG00000257342.1",105.786505990844,-3.78565978269977,0.656397552788531,-5.7673276913014,8.05383595970131e-09,1.41405224862456e-05
"ENSG00000106366.8",11.8771243602066,7.01151434308394,1.24527983275993,5.63047289342528,1.79716185493858e-08,2.52429354144673e-05
"ENSG00000115414.18",77.1806391970763,2.55016624535708,0.461127478235126,5.53028471674977,3.19711446101366e-08,3.74222247661649e-05
"ENSG00000124942.13",15.0614651730756,3.62092388190404,0.667754717019205,5.42253583481597,5.87594299756494e-08,5.89524966741409e-05
"ENSG00000166428.13",17.5159705628288,3.14051748867391,0.582659753585775,5.38996810633769,7.04701891437604e-08,6.18640172945786e-05
"ENSG00000135452.9",22.3118304532332,-2.73567349895749,0.518191387734869,-5.27927241499657,1.29697859857262e-07,0.000101207563308617
"ENSG00000125730.16",16.747903318285,2.89048455584814,0.55174703999205,5.23878579555187,1.61636514596141e-07,0.000107224207023503
"ENSG00000135446.16",21.9868547264001,-2.71088476402927,0.51844759489679,-5.22885011081773,1.70567577143837e-07,0.000107224207023503
"ENSG00000242265.5",26.5530263391381,2.58278356097126,0.495202360803938,5.21561237466282,1.8321094749851e-07,0.000107224207023503
"ENSG00000185567.6",17.8743942168965,2.89259234917892,0.562931285858905,5.1384465952456,2.77018896035873e-07,0.000149654131296918
"ENSG00000108582.11",20.4193816725614,2.82186125994193,0.551451849014389,5.11714896773934,3.10188630156178e-07,0.000155603910684774
"ENSG00000154978.12",23.5805752614003,-2.56082159520826,0.502168858708165,-5.09952290111338,3.40510671598761e-07,0.00015942709644254
"ENSG00000113083.13",7.57472986554714,6.36648305844466,1.26395546151818,5.03695205430552,4.73003199249107e-07,0.000207618841770405
"ENSG00000135677.10",29.3878025811375,-2.11726140876888,0.423806275031768,-4.99582364279569,5.85851814326633e-07,0.000242025723059761
"ENSG00000166908.17",22.6439847139779,-2.22091477828484,0.447104975262891,-4.9673228909586,6.78835073704912e-07,0.000264858817923866
"ENSG00000108821.13",12.1522073692358,4.57698118564446,0.926950590823823,4.93767546075643,7.90592655982982e-07,0.000292228011735183
"ENSG00000137801.10",6.95261269214898,6.25224616826726,1.27868296066187,4.88959840759195,1.01041900978535e-06,0.000337912985986786
"ENSG00000150667.7",6.95261269214898,6.25224616826726,1.27868296066187,4.88959840759195,1.01041900978535e-06,0.000337912985986786
"ENSG00000157227.12",6.13561692464803,6.06146549036729,1.27955471095869,4.73716789009029,2.1672561423905e-06,0.000691847267636749
"ENSG00000198538.10",15.9745330704929,2.40943636020684,0.537953308104184,4.47889495967224,7.50304409478193e-06,0.00229103820337624
"ENSG00000166750.9",13.7768498897729,2.66176866567417,0.596622301964415,4.4613965265967,8.14272612376501e-06,0.00238276523196674
"ENSG00000130635.15",5.03049726047929,5.77233852321089,1.30033436871697,4.43911863139201,9.03280200326916e-06,0.00241618317138246
"ENSG00000143816.7",5.05254613696422,5.77636090061045,1.30149091959817,4.43826446549,9.06871497656485e-06,0.00241618317138246
"ENSG00000164120.13",4.85021442943917,-5.7794583427972,1.30370765742643,-4.43309380740012,9.28904252133368e-06,0.00241618317138246
"ENSG00000267881.1",8.35785238116361,-5.57904286169208,1.26218876839076,-4.42013350253872,9.86399438979063e-06,0.00247410116426784
"ENSG00000136167.13",9.97993444909928,-2.97105021958292,0.688282065128749,-4.31661722730951,1.58438554343828e-05,0.00383694471433347
"ENSG00000151304.5",8.59574447302931,4.01461913351179,0.941744114000998,4.26296174706703,2.01735063629843e-05,0.00465674309924393
"ENSG00000258677.2",14.1173291002566,-2.305642117057,0.541386441766236,-4.25877328869744,2.05551809876921e-05,0.00465674309924393
"ENSG00000112297.14",12.0104140391156,2.66721468750255,0.629148580898408,4.23940348668328,2.24114521328761e-05,0.00467100070228848
"ENSG00000139998.15",4.32502823053408,-5.59942241942268,1.31929136114208,-4.24426520505326,2.19310860040721e-05,0.00467100070228848
"ENSG00000152952.11",12.8433990422648,2.33739347482906,0.552461155802749,4.23087388186185,2.32785169557307e-05,0.00467100070228848
"ENSG00000243415.2",12.8433990422648,2.33739347482906,0.552461155802749,4.23087388186185,2.32785169557307e-05,0.00467100070228848
"ENSG00000105388.15",4.28815747528051,-5.61079992826041,1.33245216046452,-4.21088283297494,2.54374658523238e-05,0.00496242563002417
"ENSG00000274276.4",4.30402958549595,-5.57620240462978,1.32912236607804,-4.19540182826353,2.72388248737171e-05,0.00517022343481393
"ENSG00000111319.12",17.4438330068701,-1.97931742819354,0.472774009776021,-4.18660372030869,2.83159568344742e-05,0.00523323591706611
"ENSG00000284987.1",4.16687884169585,5.50709457151133,1.31955049406721,4.17346255127911,3.00004991745443e-05,0.0054023975821237
"ENSG00000137672.12",4.00947726868079,-5.50943537970351,1.32641752153738,-4.15362077946454,3.27255352603235e-05,0.00560564473495737
"ENSG00000224057.1",19.9079220732396,-2.16629018915158,0.521314810418376,-4.15543572877403,3.24668204158512e-05,0.00560564473495737
"ENSG00000038427.15",7.06367970405357,5.2870696258068,1.2808633408006,4.12773904708844,3.66347512268722e-05,0.00581883981460151
